day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
4,2020,12,31,31/12/2020,57.4,56.2,1024.4,2,5.6,8.9,0,69.1,53.1,0,0,1,278
3,2020,12,30,30/12/2020,73.8,65.7,1015.8,8.3,10.1,15,25.1,81,66.9,0,0,0,238
2,2020,12,29,29/12/2020,65,63.4,1013.5,6.6,12,17.1,27,68,62.6,0.05,0,0,244
1,2020,12,28,28/12/2020,68.8,60.1,1013,9.4,7.6,11.1,24.3,79,59,0,0,0,217
7,2020,12,27,27/12/2020,63.5,61.3,1011.9,2.3,5,11.1,24.3,75.9,59,0,0,1,184
6,2020,12,26,26/12/2020,35.2,21.7,1011.2,10,8.9,15,22,37.9,30,0,0,0,226
5,2020,12,25,25/12/2020,41.6,37.8,1010.3,5.3,12.9,25.1,29.9,48.9,35.1,0.24,0,1,168
4,2020,12,24,24/12/2020,71.1,69.7,1015.5,1.9,7.1,12,21.7,77,69.1,0,0,1,315
3,2020,12,23,23/12/2020,67.1,62.7,1012,6.2,6.2,12,20.9,77,59,1.8,0,1,360
2,2020,12,22,22/12/2020,30.9,25.6,998.1,4.2,23.6,34,49.9,39,23,0.01,0,1,320
1,2020,12,21,21/12/2020,38.8,32.1,1005.6,9.9,8.1,15,22,45,32,0,0,0,268
7,2020,12,20,20/12/2020,66.8,65.7,1015.9,2.2,5.8,11.1,21.7,84.9,64,0,0,1,194
6,2020,12,19,19/12/2020,70.4,68.5,1010.6,6,13.7,15.9,22.9,75,68,0,0,0,251
5,2020,12,18,18/12/2020,58,49.8,1014.6,10,7.3,14,0,66,43,0,0,0,278
4,2020,12,17,17/12/2020,38.1,32.2,1017.1,8.4,9.2,22,29.9,46.9,25,0,0,0,233
3,2020,12,16,16/12/2020,72.8,61.9,1024.8,10,6.2,13,13.9,81,64,0,0,0,341
2,2020,12,15,15/12/2020,55.5,51.7,1014.8,6.6,8.3,14,14.8,68,42.1,0,0,1,315
1,2020,12,14,14/12/2020,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,0,0,250
7,2020,12,13,13/12/2020,45.3,45.3,1012.9,4.4,16.2,26,35.9,51.1,27,0,0,1,265
6,2020,12,12,12/12/2020,63.5,56.6,1017.6,8.8,7.7,15.9,21,72,55,0.27,0,0,285
5,2020,12,11,11/12/2020,65.7,58.8,1023.4,9.9,4.4,9.9,21.7,75.9,57.9,0.01,0,0,348
4,2020,12,10,10/12/2020,42.2,36.4,1021.5,9.1,11.1,17.1,18.2,48.2,28.9,0,16.9,0,311
3,2020,12,9,09/12/2020,34.8,27.7,1030.2,10,4.9,8.9,0,43,30,0,0,0,280
2,2020,12,8,08/12/2020,28.3,17.3,1032.6,10,6.2,11.1,19,42.1,19.9,0.08,0,0,282
1,2020,12,7,07/12/2020,32.5,26.2,1013.1,7.8,5.3,21,28,44.6,24.8,0,0,1,281
7,2020,12,6,06/12/2020,24.8,10.2,1018.4,10,16.8,25.1,32.1,32,17.1,0,5.9,0,241
6,2020,12,5,05/12/2020,33.8,23.7,1016.7,10,9.6,14,20.9,42.1,30,0,0,0,278
5,2020,12,4,04/12/2020,58.8,56.2,1014.6,5.1,8.4,15,21,63,51.1,0,0,1,372
4,2020,12,3,03/12/2020,59.5,54.3,1016.9,9.8,10.4,19,22.9,66.9,45,0.01,0,0,252
3,2020,12,2,02/12/2020,39.6,35.5,1012.4,4.6,16.5,22.9,33,46.9,33.1,0.41,2,1,235
2,2020,12,1,01/12/2020,27.9,7.7,1028.6,10,11.5,14,22.9,41,23,0,0,0,269
1,2020,11,30,30/11/2020,53.1,46.6,1021.2,10,7.3,11.1,0,60.1,43,0,0,0,301
7,2020,11,29,29/11/2020,57.6,50.3,1014.8,8.2,14.1,19,27,70,50,0.15,0,0,248
6,2020,11,28,28/11/2020,43.5,37.7,1025.2,9.1,14.1,20,27,46.9,39,0.01,0,0,239
5,2020,11,27,27/11/2020,50.5,38.8,1029.1,10,6.2,9.9,0,60.1,41,0,0,0,279
4,2020,11,26,26/11/2020,62.7,50,1015.1,10,10.6,15.9,22,75,55,0,0,0,203
3,2020,11,25,25/11/2020,73.3,53.2,1014,10,4.7,15,21,79,64.4,0.01,0,0,276
2,2020,11,24,24/11/2020,62.1,51.8,1012.9,10,8,15,0,70,53.1,0,0,0,324
1,2020,11,23,23/11/2020,51.2,50.1,1021.8,4,7.7,14,17.1,61,46.9,0,0,1,298
7,2020,11,22,22/11/2020,74.3,72.2,1012.8,4.5,12.3,18.1,24.1,79,71.1,0,0,1,222
6,2020,11,21,21/11/2020,68.7,62.5,1011.7,7.1,7,12,0,77,61,0,0,0,314
5,2020,11,20,20/11/2020,71.2,61.9,1013.1,10,7.4,12,0,79,64,0,0,0,358
4,2020,11,19,19/11/2020,76.5,56.3,1016,10,3.4,9.9,15.6,86,61,0,0,0,279
3,2020,11,18,18/11/2020,65.8,59.4,1014.3,7.8,9.2,14,26,75,55.9,0,0,0,295
2,2020,11,17,17/11/2020,42.5,32.5,1016.8,9.8,11,17.1,26.1,48,32,0,0,0,261
1,2020,11,16,16/11/2020,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,0,0,305
7,2020,11,15,15/11/2020,66.2,56.9,1013.2,10,8.2,12,0,75.9,55,0,0,0,251
