day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions,mph,knots
1,2012,7,2,02/07/2012,80.3,54.1,1011.6,10,3.8,15,999.9,88,66.9,0,999.9,0,564,24,20.9
2,2012,7,3,03/07/2012,79.8,56.7,1012.8,10,2.9,12,999.9,88,63,0,999.9,0,664,22,19.1
3,2012,7,4,04/07/2012,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91,68,0.06,999.9,0,432,21,18.2
4,2012,7,5,05/07/2012,86.7,64.3,1007.4,9.4,3.8,15,999.9,93.9,70,99.99,999.9,0,591,21,18.2
5,2012,7,6,06/07/2012,81.9,62.3,1011.7,10,3.1,9.9,999.9,91,66.9,0,999.9,0,638,0,0
1,2012,7,9,09/07/2012,78.5,56.8,1012.7,10,3.5,9.9,999.9,84,68,0.09,999.9,0,533,20,17.4
2,2012,7,10,10/07/2012,76.5,56.3,1016,10,3.4,9.9,999.9,86,61,0,999.9,0,524,18,15.6
3,2012,7,11,11/07/2012,77.1,62,1019.9,10,1.9,7,999.9,84,64.9,0,999.9,0,565,18,15.6
4,2012,7,12,12/07/2012,77.4,60.2,1021.7,10,2.3,7,999.9,88,57,0,999.9,0,577,18,15.6
5,2012,7,13,13/07/2012,78.9,60.7,1021.8,9.9,3,7,999.9,87.1,63,0,999.9,0,603,0,0
7,2012,7,15,15/07/2012,79.7,68.6,1018.3,9.1,2.8,13,999.9,87.1,70,0,999.9,0,494,22,19.1
6,2012,7,21,21/07/2012,68.1,58.5,1018.3,9.8,4.1,12,999.9,77,57.9,0.43,999.9,0,528,26,22.6
7,2012,7,22,22/07/2012,72.5,59.4,1020.3,10,2,8,999.9,82,54,0,999.9,0,498,21,18.2
1,2012,7,23,23/07/2012,76,67.2,1016.9,8.9,3,13,999.9,86,64,0,999.9,0,505,25,21.7
3,2012,7,25,25/07/2012,76.5,53.5,1009.7,10,4.2,19,999.9,84.9,66.9,0,999.9,0,612,23,20
5,2012,7,27,27/07/2012,76.6,69.3,1007,9.1,4.4,14,999.9,87.1,70,0.6,999.9,0,638,20,17.4
1,2012,7,30,30/07/2012,73.1,65.1,1018.6,10,2.2,8.9,999.9,79,64.9,0.01,999.9,0,530,30,26.1
2,2012,7,31,31/07/2012,73.4,64.3,1016.7,10,3.8,14,999.9,80.1,60.1,0,999.9,0,540,0,0
3,2012,8,1,01/08/2012,72.2,68.4,1012.4,7.8,2.5,9.9,999.9,78.1,66.9,0.55,999.9,1,616,0,0
4,2012,8,2,02/08/2012,75,68.4,1011.3,6.2,2.7,11.1,999.9,87.1,66.2,0.11,999.9,1,570,24,20.9
2,2012,8,7,07/08/2012,75.2,58.1,1015.7,10,1.2,9.9,999.9,82.9,63,0.01,999.9,0,547,16,13.9
3,2012,8,8,08/08/2012,77.8,67.1,1014.7,8.8,1.1,8,999.9,86,64,0,999.9,0,528,17,14.8
1,2012,8,13,13/08/2012,76.3,61.2,1014.6,9.2,4.3,13,999.9,86,69.1,0.05,999.9,0,504,20,17.4
2,2012,8,14,14/08/2012,76,62.6,1014,9.6,2.3,9.9,999.9,81,69.1,0,999.9,0,520,18,15.6
3,2012,8,15,15/08/2012,73.6,68.9,1011.5,6.5,3.5,9.9,999.9,81,66.2,0.01,999.9,1,602,31,26.9
6,2012,8,18,18/08/2012,69.8,63.7,1011.3,8.4,4.1,9.9,999.9,78.1,62.6,0.01,999.9,0,540,22,19.1
7,2012,8,19,19/08/2012,68.7,55,1014.2,10,1.3,12,999.9,75,62.1,0.23,999.9,0,467,0,0
1,2012,8,20,20/08/2012,71.4,56.7,1012.5,10,0.8,9.9,999.9,78.1,64,0,999.9,0,473,0,0
2,2012,8,21,21/08/2012,72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,482,21,18.2
3,2012,8,22,22/08/2012,73.8,60.3,1019.6,9.8,1.7,8,999.9,80.1,61,0,999.9,0,504,21,18.2
4,2012,8,23,23/08/2012,74.7,61.7,1020.4,8.9,2,8.9,999.9,84,62.6,0,999.9,0,574,16,13.9
5,2012,8,24,24/08/2012,77.3,60.9,1020.7,9.3,2,7,999.9,87.1,66,0,999.9,0,601,,0
7,2012,9,2,02/09/2012,75.4,65.9,1017.7,9.8,3.2,11.1,999.9,80.1,62.1,0,999.9,0,421,,0
1,2012,9,3,03/09/2012,73.8,65.1,1019.8,10,4.5,14,999.9,79,55.4,0,999.9,0,373,18,15.6
2,2012,9,4,04/09/2012,72.6,68.4,1016.8,8.8,4.7,15.9,999.9,79,60.8,0.02,999.9,0,606,22,19.1
4,2012,9,6,06/09/2012,73.2,65.3,1011.3,9.7,2.3,12,999.9,79,62.6,0.59,999.9,0,572,20,17.4
5,2012,9,7,07/09/2012,77,67.8,1012.2,8.7,2.7,8,999.9,86,64.4,0,999.9,0,680,16,13.9
3,2012,9,12,12/09/2012,68.5,49.7,1026.5,10,2.1,9.9,999.9,80.1,55,0,999.9,0,651,,0
4,2012,9,13,13/09/2012,70.4,54.8,1027.4,10,3.2,9.9,999.9,80.1,62.1,0,999.9,0,632,17,14.8
5,2012,9,14,14/09/2012,70.5,57.7,1023.4,9.7,2.3,9.9,999.9,80.1,55.4,0,999.9,0,609,20,17.4
1,2012,9,17,17/09/2012,66.5,48,1018.3,10,2.2,7,999.9,77,48.2,0,999.9,0,452,22,19.1
3,2012,9,26,26/09/2012,67.7,56.8,1018.7,10,4.3,14,999.9,75.9,62.6,0,999.9,0,404,21,18.2
2,2012,10,2,02/10/2012,63.7,54.2,1015.5,7.3,2.4,9.9,999.9,70,60.1,0,999.9,0,593,20,17.4
3,2012,10,3,03/10/2012,65.6,64.3,1016.6,1.5,3.5,9.9,999.9,73,62.6,0.45,999.9,1,502,,0
4,2012,10,4,04/10/2012,68.6,66.2,1019,2.9,2.2,13,999.9,73.4,62.6,0.01,999.9,1,554,,0
5,2012,10,5,05/10/2012,67.8,59.7,1016.7,8.4,3.3,9.9,999.9,78.1,60.8,0,999.9,0,693,,0
3,2012,10,17,17/10/2012,51.9,38,1014.3,10,1.3,11.1,999.9,60.1,44.1,0,999.9,0,615,,0
2,2012,10,23,23/10/2012,59,44.9,1018.7,9.7,2.2,14,999.9,64,53.1,0,999.9,0,522,,0
3,2012,10,24,24/10/2012,57.1,53.5,1019.9,6.4,4.1,9.9,999.9,59,51.8,0.07,999.9,0,494,,0
4,2012,10,25,25/10/2012,58,51.3,1023.9,10,3,8.9,999.9,61,43,0,999.9,0,511,,0
5,2012,10,26,26/10/2012,60.8,53.4,1022.6,10,1.5,7,999.9,64.9,39.2,0,999.9,0,598,,0
7,2012,11,11,11/11/2012,54.7,45.1,1030.8,7,1.6,9.9,999.9,63,37.4,0,999.9,0,526,,0
5,2012,11,16,16/11/2012,41.9,29.5,1026.4,9.7,5.8,15,999.9,48.2,37.9,0,999.9,0,672,,0
4,2012,11,22,22/11/2012,47.3,36.2,1023.4,10,3.4,15.9,999.9,54,42.1,0,999.9,0,384,,0
5,2012,11,23,23/11/2012,48.3,40.8,1016.5,8.9,3.4,8.9,999.9,54,39.2,0,999.9,1,481,20,17.4
2,2012,11,27,27/11/2012,38.7,27.2,1024.2,7,4.4,9.9,999.9,44.6,33.8,0,999.9,0,583,23,20
