day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
2,2018,11,20,2018-11-20,48.2,46.3,1012,9.2,7.0,19.0,25.1,52,43,0,999.9,0,695
5,2018,06,22,2018-06-22,61.1,56.4,1016.4,5.5,7.2,13.0,999.9,69.1,55.9,0.11,999.9,1,728
5,2018,03,02,2018-03-02,45.3,45.2,989.8,5.1,23.3,49.0,65.1,48.9,39,0.35,999.9,0,884
6,2018,04,28,2018-04-28,49.5,48.3,1010.7,5.1,6.3,9.9,999.9,60.1,39.9,0.13,999.9,1,604
6,2018,06,23,2018-06-23,59.2,57,1015.5,5.7,9.2,14.0,20,69.1,55.9,0.16,999.9,1,513
5,2018,02,16,2018-02-16,44.8,44.6,1003.8,2.9,8.8,18.1,26,52,37.9,0.14,999.9,1,582
5,2018,07,27,2018-07-27,70.6,70.1,1015.8,2.1,7.8,13.0,999.9,75.9,68,0,999.9,1,753
1,2018,08,13,2018-08-13,69.1,68.1,1016.9,7.7,6.2,9.9,999.9,75.9,64.9,0.05,999.9,1,617
1,2018,08,20,2018-08-20,66.7,66,1018.3,4.7,11.6,15.9,22,72,66,0.04,999.9,0,562
5,2018,11,16,2018-11-16,42.8,39.1,1005,5.5,19.0,31.1,42.9,53.1,35.1,1.16,999.9,0,720
2,2018,07,17,2018-07-17,70.5,69,1012.9,4.6,10.7,17.1,22,75.9,66,0,999.9,1,680
7,2018,07,22,2018-07-22,66.5,66.2,1019.1,3.2,12.8,18.1,20,72,52,0,999.9,1,540
4,2018,08,02,2018-08-02,73.7,72.5,1019.9,5.4,11.6,15.9,21,78.1,64,0,999.9,0,722
4,2018,07,05,2018-07-05,71.7,71,1025.4,1.6,6.2,11.1,999.9,81,66.9,0,999.9,1,720
4,2018,08,09,2018-08-09,74.9,73.5,1008,3.6,9.2,14.0,999.9,82.9,70,0,999.9,1,709
4,2018,10,11,2018-10-11,67.2,65.9,1009.6,4.1,8.9,20.0,25.1,72,64,0,999.9,1,741
1,2018,06,04,2018-06-04,51,50.1,1011.1,6.2,13.5,20.0,27,57,46.9,0.15,999.9,0,698
7,2018,10,28,2018-10-28,56.8,52.7,1007.4,6.9,13.4,19.0,27,61,44.1,0.99,999.9,0,556
6,2018,02,24,2018-02-24,42.3,41.5,1020.5,5,11.4,21.0,27,48.9,35.1,0.09,999.9,1,540
1,2018,05,14,2018-05-14,50.5,49.6,1016.9,6.4,5.5,9.9,999.9,57,48,0,999.9,1,689
7,2018,07,29,2018-07-29,72.9,69.1,1016.8,6.5,6.3,14.0,999.9,80.1,66.9,0.06,999.9,1,463
4,2018,03,08,2018-03-08,39.6,36.3,999.1,8.2,15.8,27.0,39,46,34,0.79,999.9,0,633
4,2018,03,15,2018-03-15,36.5,28.1,996.7,9.7,20.1,24.1,33,39.9,33.1,0,999.9,0,689
4,2018,09,27,2018-09-27,66.3,62.6,1016.6,8.5,13.2,21.0,28,75,60.1,0.11,999.9,0,672
1,2018,04,02,2018-04-02,37.7,31.2,1018.7,8.1,8.4,14.0,999.9,50,33.1,0.01,999.9,1,562
6,2018,11,03,2018-11-03,59.7,55.6,1008.9,5.4,19.2,32.1,38.1,64,54,0.46,999.9,0,656
6,2018,06,02,2018-06-02,63.1,60.8,1007,4.4,7.9,18.1,24.1,75.9,55.9,0,999.9,1,622
7,2018,08,19,2018-08-19,68.5,65.5,1013.6,8.9,13.1,19.0,24.1,81,66,0.01,999.9,0,490
6,2018,11,10,2018-11-10,52.2,44.9,1009.3,7.5,19.1,32.1,44.1,62.1,39,1.32,999.9,0,606
6,2018,10,27,2018-10-27,50,45.3,1015.4,5.7,16.0,28.0,40,59,33.1,0.2,999.9,0,757
5,2018,09,14,2018-09-14,64.9,60.7,1024.2,9.2,7.1,12.0,999.9,73.9,59,0.01,999.9,1,684
5,2018,01,12,2018-01-12,43.7,43.7,1021.7,5.6,13.4,19.0,27,48,30.9,0,999.9,1,704
2,2018,10,02,2018-10-02,64.7,62.1,1022.8,9.5,6.6,11.1,999.9,71.1,52,0,999.9,0,613
2,2018,09,11,2018-09-11,68.9,67.5,1021.2,7.4,10.0,15.9,24.1,75.9,61,0.18,999.9,1,544
1,2018,05,28,2018-05-28,53.4,52.6,1017.4,5.8,11.6,18.1,24.1,57.9,50,0.08,999.9,0,409
1,2018,11,19,2018-11-19,46.7,41,1021,10,5.0,8.9,999.9,54,37.9,0,999.9,0,697
7,2018,12,16,2018-12-16,43.8,37.8,1017.9,8.4,15.2,20.0,28.9,51.1,42.1,0.55,999.9,0,622
5,2018,02,02,2018-02-02,34.2,30.8,1011.1,6.4,11.9,22.0,28,44.1,23,0.07,999.9,0,617
2,2018,08,14,2018-08-14,72.8,71.4,1013,4.5,6.9,11.1,999.9,80.1,64.9,0,999.9,1,701
1,2018,02,26,2018-02-26,42.1,40.1,1016.7,6.5,10.7,15.0,999.9,46.9,39,0.72,999.9,1,557
7,2018,08,12,2018-08-12,70.9,69.7,1017.6,7.8,7.3,11.1,999.9,75.9,64,0.01,999.9,0,499
5,2018,04,06,2018-04-06,38,25.2,1019,9.4,12.2,27.0,36.9,46.9,28.9,0,999.9,0,515
1,2018,01,22,2018-01-22,36.4,35.9,1023.6,7.6,4.0,11.1,999.9,48.9,27,0,999.9,0,559
7,2018,02,25,2018-02-25,42.5,41.5,1021.5,6.4,12.3,22.9,31.1,48.9,39,0.21,999.9,1,448
3,2018,06,06,2018-06-06,54.8,50.8,1008.9,9.7,9.6,15.0,999.9,61,50,0,999.9,0,651
6,2018,04,07,2018-04-07,43.5,37.2,1008.6,8.7,10.7,21.0,29.9,50,28.9,0.1,999.9,0,487
1,2018,10,15,2018-10-15,57.1,51.9,1021.9,9.1,9.8,18.1,22.9,64.9,43,0,999.9,0,692
5,2018,04,27,2018-04-27,48.8,46.9,1011.9,7.8,9.2,22.0,999.9,55.9,39.9,0.03,999.9,1,690
1,2018,12,03,2018-12-03,51,49,1001.7,2.7,11.3,15.9,21,54,42.1,0.66,999.9,1,697
6,2018,12,01,2018-12-01,38.3,31.9,1020.3,9.9,5.7,8.9,999.9,44.1,33.1,0,999.9,0,601
3,2018,03,28,2018-03-28,40.4,32.9,1018.5,10,10.1,14.0,999.9,48,30.9,0,999.9,0,629
7,2018,09,30,2018-09-30,61,53.5,1025.6,9.7,4.7,8.9,999.9,72,51.1,0,999.9,1,510
1,2018,06,18,2018-06-18,62.9,60.4,1017.2,9.1,9.6,15.9,19,82,57.9,0,999.9,1,808
5,2018,06,15,2018-06-15,59,54,1011.3,9.3,6.2,12.0,999.9,71.1,54,0,999.9,0,728
4,2018,02,15,2018-02-15,40.8,40.8,1013.7,2.2,9.7,15.0,999.9,44.1,30.9,0.35,999.9,1,645
7,2018,04,29,2018-04-29,50.5,48.7,1010.3,9.2,5.9,9.9,15,60.1,43,0,999.9,0,505
6,2018,02,10,2018-02-10,41.6,39,1028.8,9,11.3,15.0,999.9,48,21.9,0,999.9,0,549
2,2018,01,09,2018-01-09,38.3,32.3,1016.8,9.3,14.6,21.0,28,43,30.9,0.01,999.9,0,684
1,2018,04,30,2018-04-30,46.2,40.4,1013.5,10,12.0,19.0,22,57.9,41,0.07,999.9,0,656
2,2018,04,03,2018-04-03,35.3,32.5,1021.9,9.3,7.5,17.1,21,45,24.1,0.3,999.9,0,551
4,2018,02,08,2018-02-08,34.6,28.2,1020.8,8.4,14.5,22.0,34,48.9,21.9,0.62,999.9,0,616
1,2018,11,05,2018-11-05,47.5,41.9,1030.9,9.7,9.2,20.0,32.1,53.1,37,0,999.9,0,759
7,2018,10,21,2018-10-21,48.5,41.4,1004.7,9.1,11.8,27.0,35.9,62.1,42.1,0.2,999.9,0,593
2,2018,12,04,2018-12-04,40.6,28.1,1007.8,10,12.1,19.0,26,54,34,0.02,999.9,0,684
4,2018,11,15,2018-11-15,34,18.9,1033.3,9.9,10.6,20.0,28,44.1,28.9,0,999.9,0,1065
7,2018,06,03,2018-06-03,52.8,48.1,1016.4,10,11.8,18.1,25.1,57.9,46.9,0,999.9,0,525
5,2018,12,07,2018-12-07,38,22.5,1022,9.8,11.0,15.9,22,42.1,27,0,999.9,0,705
7,2018,01,21,2018-01-21,39.7,31.7,1018.2,10,7.2,12.0,999.9,48.9,28,0,999.9,0,418
6,2018,03,17,2018-03-17,33.3,17.6,1005.7,10,19.7,28.0,35,39.9,28,0,999.9,0,562
1,2018,07,30,2018-07-30,71.3,66.7,1020.4,9.9,5.8,8.0,999.9,80.1,64.9,0,999.9,0,580
5,2018,08,10,2018-08-10,76.9,68.4,1010.2,9.6,6.4,9.9,999.9,86,68,0.04,999.9,0,707
1,2018,03,19,2018-03-19,30.5,6.6,1011.7,10,12.2,20.0,26,37,21,0,999.9,0,686
1,2018,12,10,2018-12-10,35.5,23.8,1018.4,10,10.1,18.1,999.9,43,25,0,999.9,0,651
4,2018,11,08,2018-11-08,52.1,38.7,1020.3,9.9,11.1,18.1,22,61,44.1,0,999.9,0,631
1,2018,10,22,2018-10-22,43.3,24.9,1021,10,11.7,18.1,28,52,36,0.36,999.9,0,650
6,2018,07,14,2018-07-14,64.9,59.5,1021.4,10,4.7,9.9,999.9,73.9,54,0,999.9,0,577
5,2018,02,09,2018-02-09,28.3,17.3,1032.6,10,6.2,11.1,19,42.1,19.9,0.08,999.9,0,583
6,2018,07,07,2018-07-07,67.3,52.8,1023.6,9.9,12.8,21.0,28.9,75.9,60.1,0.01,999.9,0,526
5,2018,10,19,2018-10-19,49.2,33.4,1022.9,10,13.7,21.0,31.1,59,39.9,0,999.9,0,787
3,2018,05,02,2018-05-02,54.5,45.7,1016.7,10,13.1,19.0,22,66,43,0,999.9,0,792
6,2018,05,05,2018-05-05,58,47.5,1013.8,9.2,13.5,21.0,28,66,51.1,0,999.9,0,602
7,2018,04,01,2018-04-01,44.2,40.5,1017.3,10,13.4,20.0,27,50,39,0,999.9,0,399
7,2018,11,11,2018-11-11,39.9,21.2,1022.8,10,13.7,25.1,31.1,44.1,37,0.31,999.9,0,500
4,2018,03,01,2018-03-01,46.7,41,1011.2,10,8.5,14.0,999.9,60.1,39,0,999.9,0,619
6,2018,01,27,2018-01-27,36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,999.9,0,510
7,2018,09,09,2018-09-09,62.6,50.8,1022.8,10,10.0,15.9,22.9,73,59,0.01,999.9,0,556
7,2018,01,07,2018-01-07,9.3,-0.5,1028.3,10,12.7,19.0,27,19.9,1.9,0,999.9,0,475
3,2018,01,31,2018-01-31,25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,999.9,0,596
6,2018,09,01,2018-09-01,65,59.4,1026.7,10,7.2,11.1,17.1,75,55.9,0,999.9,0,529
7,2018,12,23,2018-12-23,36.7,23.9,1015.1,10,11.6,20.0,32.1,51.1,32,0.02,999.9,0,505
4,2018,01,11,2018-01-11,38.5,38,1030.1,10,8.6,12.0,999.9,45,21.9,0,999.9,0,696
5,2020,10,23,2020-10-23,62,53.9,1022.7,9.5,7.4,11.1,15,68,57,0,999.9,1,337
2,2020,04,28,2020-04-28,41.8,28.8,1016.4,8.7,18.8,31.1,38.1,50,39,0.13,999.9,0,185
2,2020,12,01,2020-12-01,58.1,54.3,1003.1,4.3,18.1,34.0,47,63,45,0.88,999.9,1,269
6,2020,01,18,2020-01-18,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19,0,999.9,0,774
5,2020,05,22,2020-05-22,57,52.1,1022,10,12.0,15.9,999.9,64,51.1,0,999.9,0,264
7,2020,08,09,2020-08-09,71.5,66.9,1019.9,9.3,7.0,12.0,999.9,78.1,64.9,0,999.9,0,283
5,2020,06,26,2020-06-26,66.7,61.7,1014.8,9.6,7.8,12.0,999.9,77,61,0,999.9,0,337
5,2020,08,21,2020-08-21,69.1,63.5,1015.1,10,8.7,15.0,999.9,77,61,0,999.9,0,348
1,2020,01,27,2020-01-27,40.1,33.8,1004.3,10,10.5,18.1,24.1,51.1,36,0.01,999.9,0,452
4,2020,06,11,2020-06-11,63.6,60.1,1019.7,6.6,12.7,19.0,24.1,70,57.9,0,999.9,1,251
6,2020,12,19,2020-12-19,35.6,27.6,1026.3,9.7,8.6,15.0,24.1,39.9,34,0.01,999.9,0,251
