day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
1,2020,07,20,2020-07-20,71.0,69.4,1011.6,2.1,9.5,13.0,999.9,75.9,66.9,99.99,999.9,1,281
5,2020,07,31,2020-07-31,73.7,70.8,1009.8,6.3,5.1,12.0,999.9,80.1,71.1,99.99,999.9,1,343
3,2020,08,05,2020-08-05,74.8,70.5,1015.9,8.9,11.5,17.1,22.0,81.0,71.1,99.99,999.9,0,345
5,2020,07,24,2020-07-24,73.7,69.7,1017.4,7.8,6.3,11.1,15.9,81.0,68.0,99.99,999.9,1,312
3,2020,07,29,2020-07-29,75.3,67.6,1012.7,7.5,6.3,11.1,999.9,82.9,72.0,99.99,999.9,0,318
2,2020,08,04,2020-08-04,74.8,72.4,1016.2,3.4,11.4,24.1,33.0,82.0,72.0,99.99,999.9,1,451
5,2017,06,09,2017-06-09,57.6,52.7,1006.0,9.1,13.2,22.9,31.1,66.0,39.9,99.99,999.9,0,770
3,2019,08,14,2019-08-14,71.1,68.7,1009.9,8.6,6.8,12.0,999.9,75.9,66.0,99.99,999.9,0,537
4,2019,08,29,2019-08-29,71.0,68.2,1009.4,6.3,9.5,18.1,22.9,75.0,59.0,99.99,999.9,0,592
5,2019,07,19,2019-07-19,69.2,67.7,1011.4,4.7,8.1,15.0,999.9,77.0,64.9,99.99,999.9,1,666
3,2019,08,28,2019-08-28,65.4,61.6,1015.1,9.2,7.7,20.0,27.0,72.0,50.0,99.99,999.9,0,553
2,2019,08,13,2019-08-13,71.2,68.7,1011.2,7.9,8.4,12.0,999.9,78.1,66.0,99.99,999.9,0,469
5,2019,09,06,2019-09-06,59.3,55.0,1016.1,9.1,9.3,17.1,27.0,71.1,54.0,99.99,999.9,0,591
3,2019,08,21,2019-08-21,70.6,68.5,1016.2,8.1,7.2,21.0,26.0,82.9,62.1,99.99,999.9,1,522
6,2018,07,21,2018-07-21,59.8,9999.9,1021.0,6.8,6.7,15.0,17.1,73.0,52.0,0.0,999.9,1,622
6,2019,09,07,2019-09-07,62.1,58.3,1003.1,7.4,20.3,33.0,44.1,68.0,54.0,99.99,999.9,0,489
4,2019,09,05,2019-09-05,67.7,60.6,1016.7,9.5,9.7,14.0,19.0,77.0,57.9,99.99,999.9,0,628
4,2015,09,10,2015-09-10,73.8,71.2,1011.3,5.6,5.6,9.9,999.9,77.0,71.6,99.99,999.9,1,716
5,2015,09,11,2015-09-11,68.6,65.6,1005.8,9.5,12.6,21.0,24.1,72.0,64.0,99.99,999.9,0,765
3,2015,09,02,2015-09-02,66.0,62.6,1017.1,9.7,5.3,999.9,999.9,81.0,61.0,0.0,999.9,1,654
6,2018,03,03,2018-03-03,40.2,37.5,1005.3,6.2,34.8,46.0,62.9,48.9,37.0,99.99,999.9,0,609
4,2015,09,03,2015-09-03,74.5,70.0,1011.5,7.5,6.0,999.9,999.9,81.0,69.1,0.0,999.9,0,665
4,2014,11,13,2014-11-13,49.8,41.1,1015.5,8.6,8.4,999.9,999.9,68.0,45.0,0.0,999.9,1,696
2,2019,09,03,2019-09-03,70.0,65.8,1016.3,8.9,6.8,13.0,999.9,75.0,57.9,99.99,999.9,1,652
2,2013,02,19,2013-02-19,36.7,25.4,1019.0,10.0,10.6,15.9,26.0,46.0,30.0,99.99,999.9,0,477
4,2012,07,05,2012-07-05,86.7,64.3,1007.4,9.4,3.8,15.0,999.9,93.9,70.0,99.99,999.9,0,591
4,2016,04,07,2016-04-07,50.9,44.8,1013.6,7.6,21.9,32.1,40.0,57.0,32.0,99.99,999.9,0,630
7,2015,09,13,2015-09-13,68.2,65.0,1008.0,8.8,8.4,11.1,15.9,73.0,63.0,99.99,999.9,0,478
