day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
3,2019,08,14,2019-08-14,71.1,68.7,1009.9,8.6,6.8,12.0,999.9,75.9,66.0,99.99,999.9,0,537
5,2019,05,03,2019-05-03,47.3,44.1,1022.8,7.8,9.2,15.9,999.9,55.9,44.1,0.0,999.9,1,651
4,2019,07,04,2019-07-04,66.6,63.7,1017.9,6.3,3.7,8.9,999.9,80.1,59.0,0.0,999.9,1,394
3,2019,06,26,2019-06-26,67.3,64.0,1014.7,8.1,7.9,13.0,999.9,73.9,57.9,0.6,999.9,0,803
3,2019,09,04,2019-09-04,66.6,64.8,1015.1,6.6,7.7,12.0,999.9,77.0,57.9,0.0,999.9,1,600
3,2019,07,03,2019-07-03,70.2,65.1,1009.9,9.2,5.0,8.9,999.9,80.1,59.0,0.0,999.9,0,654
2,2019,07,30,2019-07-30,73.0,71.1,1016.3,6.6,7.8,12.0,999.9,80.1,69.1,0.0,999.9,1,638
6,2019,08,31,2019-08-31,70.3,60.1,1020.7,9.1,5.3,8.9,999.9,79.0,57.9,0.0,999.9,1,502
1,2019,06,10,2019-06-10,59.4,53.6,1022.9,10.0,10.5,14.0,999.9,66.9,45.0,0.0,999.9,0,613
7,2019,10,06,2019-10-06,52.0,46.1,1029.5,10.0,7.2,15.9,999.9,64.9,37.0,0.0,999.9,0,435
2,2019,05,07,2019-05-07,48.3,42.8,1021.2,10.0,7.8,13.0,999.9,55.9,37.0,0.25,999.9,0,647
3,2019,03,20,2019-03-20,36.9,27.1,1029.5,10.0,6.7,8.9,999.9,44.1,24.1,0.0,999.9,0,584
1,2019,09,09,2019-09-09,63.9,58.4,1023.2,9.8,4.5,8.9,999.9,72.0,57.0,0.0,999.9,0,603
6,2019,08,03,2019-08-03,70.3,66.6,1018.0,10.0,6.3,9.9,999.9,80.1,60.1,0.0,999.9,0,566
2,2019,07,02,2019-07-02,67.9,63.1,1009.0,10.0,9.1,14.0,999.9,75.0,62.1,0.0,999.9,0,591
2,2019,07,09,2019-07-09,69.0,61.7,1015.8,9.7,6.5,11.1,999.9,80.1,54.0,0.0,999.9,0,661
1,2019,09,16,2019-09-16,65.4,58.5,1016.8,9.6,7.4,14.0,999.9,75.0,57.0,0.0,999.9,0,620
3,2019,12,25,2019-12-25,35.6,28.9,1022.2,10.0,4.7,8.0,999.9,46.9,28.0,0.0,999.9,0,264
7,2019,01,27,2019-01-27,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21.0,0.0,999.9,0,445
7,2019,05,19,2019-05-19,52.0,47.3,1020.1,10.0,9.7,15.9,999.9,64.9,45.0,0.0,999.9,0,547
3,2019,09,11,2019-09-11,68.3,64.1,1022.3,10.0,10.2,15.0,999.9,73.9,57.9,0.0,999.9,0,624
3,2018,08,22,2018-08-22,68.1,67.4,1008.0,4.8,8.1,14.0,999.9,75.9,62.1,0.05,999.9,1,599
4,2018,09,13,2018-09-13,66.1,63.8,1024.7,6.3,8.4,13.0,999.9,79.0,63.0,0.0,999.9,1,718
7,2018,01,28,2018-01-28,43.4,43.2,1025.3,4.4,9.5,18.1,999.9,46.0,28.9,0.01,999.9,1,412
